Marca,Modelo,Condicao,Memoria,Bateria,Preco,TempoConta,Vendas,Golpe
Apple,iPhone SE 2020,Com defeito,16,Boa (80% ate 94%),1222.4,111,6,Sim
Apple,iPhone 6 Plus,Recondicionado,256,Perfeita (95% ate 100%),564.18,89,9,Sim
Apple,iPhone 7,Com defeito,16,Muito Ruim (abaixo de 39%),1689.76,27,7,Sim
Apple,iPhone 6S Plus,Usado - Bom,16,Perfeita (95% ate 100%),1306.51,260,2,Nao
Apple,iPhone 8 Plus,Novo,32,Ruim (40% ate 59%),807.5,339,20,Sim
Apple,iPhone 7,Novo,32,Muito Ruim (abaixo de 39%),1144.13,180,6,Sim
Apple,iPhone 6 Plus,Usado - Bom,128,Ok (60% ate 79%),1533.14,146,8,Sim
Apple,iPhone 8 Plus,Com defeito,8,Boa (80% ate 94%),1312.85,336,11,Sim
Apple,iPhone 6 Plus,Novo,16,Ruim (40% ate 59%),509.45,160,7,Nao
Apple,iPhone 6,Com defeito,8,Perfeita (95% ate 100%),1380.75,227,17,Sim
Apple,iPhone 6,Com defeito,256,Boa (80% ate 94%),2905.59,314,2,Sim
Apple,iPhone 6,Usado - Excelente,64,Ruim (40% ate 59%),2927.28,282,4,Sim
Apple,iPhone 6 Plus,Recondicionado,64,Perfeita (95% ate 100%),1744.77,5,7,Sim
Apple,iPhone 6 Plus,Novo,32,Muito Ruim (abaixo de 39%),1311.11,7,18,Sim
Apple,iPhone 6S Plus,Novo,64,Ok (60% ate 79%),2634.35,256,16,Nao
Apple,iPhone 6S Plus,Usado - Excelente,32,Perfeita (95% ate 100%),2442.81,213,6,Nao
Apple,iPhone 8 Plus,Com defeito,64,Perfeita (95% ate 100%),1132.76,29,20,Nao
Apple,iPhone 6S,Novo,16,Boa (80% ate 94%),1165.29,100,4,Nao
Apple,iPhone 6,Novo,32,Boa (80% ate 94%),726.41,264,7,Nao
Apple,iPhone 7,Novo,8,Perfeita (95% ate 100%),211.52,34,19,Sim
Apple,iPhone 7 Plus,Novo,64,Ok (60% ate 79%),2069.69,132,16,Sim
Apple,iPhone 8,Com defeito,64,Muito Ruim (abaixo de 39%),1417.26,276,9,Sim
Apple,iPhone 7,Recondicionado,64,Perfeita (95% ate 100%),2648.38,75,11,Sim
Apple,iPhone 8 Plus,Usado - Excelente,256,Ruim (40% ate 59%),1978.51,185,20,Sim
Apple,iPhone 6S Plus,Usado - Bom,128,Ok (60% ate 79%),2503.84,252,11,Nao
Apple,iPhone SE 2020,Recondicionado,16,Muito Ruim (abaixo de 39%),1010.35,262,6,Sim
Apple,iPhone 6S,Usado - Excelente,32,Muito Ruim (abaixo de 39%),1967.9,9,1,Nao
Apple,iPhone SE 2020,Recondicionado,16,Ruim (40% ate 59%),913.5,277,19,Sim
Apple,iPhone 8 Plus,Usado - Excelente,256,Boa (80% ate 94%),2852.54,252,17,Sim
Apple,iPhone 6 Plus,Recondicionado,8,Ok (60% ate 79%),1352.18,235,20,Sim
Apple,iPhone 6 Plus,Com defeito,64,Ok (60% ate 79%),339.41,15,12,Nao
Apple,iPhone 8 Plus,Usado - Bom,256,Perfeita (95% ate 100%),1003.14,184,15,Nao
Apple,iPhone 7,Usado - Bom,256,Ok (60% ate 79%),546.51,272,3,Nao
Apple,iPhone SE 2020,Novo,32,Muito Ruim (abaixo de 39%),2770.75,159,16,Sim
Apple,iPhone 8,Recondicionado,8,Muito Ruim (abaixo de 39%),2070.31,267,2,Sim
Apple,iPhone 6,Com defeito,8,Muito Ruim (abaixo de 39%),1634.42,255,5,Sim
Apple,iPhone SE 2020,Com defeito,32,Boa (80% ate 94%),1073.7,275,14,Sim
Apple,iPhone 7 Plus,Usado - Bom,256,Muito Ruim (abaixo de 39%),916.6,330,15,Nao
Apple,iPhone 8 Plus,Novo,32,Perfeita (95% ate 100%),2862.71,336,20,Sim
Apple,iPhone 6 Plus,Novo,64,Ok (60% ate 79%),917.12,10,2,Nao
